Untitled report,,,,,,
"November 1, 2025 - November 30, 2025",,,,,,
Campaign,Day,Device,Currency code,Cost,Impr.,Clicks
IKONIC-AMZ-Glide-Peach-14-Oct-2025,22-11-2025,Other,INR,16.47,211,6
IKONIC-AMZ-Glide-Peach-14-Oct-2025,22-11-2025,Mobile phones,INR,956.99,"7,486",326
IKONIC-AMZ-Glide-Peach-14-Oct-2025,22-11-2025,Tablets,INR,0,3,0
Me_Sales_P-Max_Oct25,22-11-2025,Other,INR,0,1,0
Me_Sales_P-Max_Oct25,22-11-2025,Computers,INR,32.96,281,11
Me_Sales_P-Max_Oct25,22-11-2025,Mobile phones,INR,2137.98,"31,474",506
Me_Sales_P-Max_Oct25,22-11-2025,Tablets,INR,0.17,32,0
Pro_Sales_P-Max_Oct25,22-11-2025,Other,INR,0,1,0
Pro_Sales_P-Max_Oct25,22-11-2025,Computers,INR,217.84,786,13
Pro_Sales_P-Max_Oct25,22-11-2025,Mobile phones,INR,4129.29,"41,680",849
Pro_Sales_P-Max_Oct25,22-11-2025,Tablets,INR,9.46,172,3
Cadiveu_Instamart_External_20th_Nov_2025,22-11-2025,Mobile phones,INR,954.31,61,2
PRO_Search_|_Oct_25,23-11-2025,Computers,INR,109.05,85,10
PRO_Search_|_Oct_25,23-11-2025,Mobile phones,INR,3691.51,"3,767",464
PRO_Search_|_Oct_25,23-11-2025,Tablets,INR,1.53,20,3
ME_Search_|_Oct_25,23-11-2025,Computers,INR,125.25,96,5
ME_Search_|_Oct_25,23-11-2025,Mobile phones,INR,4477.19,"3,142",318
ME_Search_|_Oct_25,23-11-2025,Tablets,INR,0,15,0
IKONIC-AMZ-Glide-Peach-14-Oct-2025,23-11-2025,Other,INR,6.3,148,2
IKONIC-AMZ-Glide-Peach-14-Oct-2025,23-11-2025,Mobile phones,INR,886.85,"6,680",299
IKONIC-AMZ-Glide-Peach-14-Oct-2025,23-11-2025,Tablets,INR,2.58,9,1
Me_Sales_P-Max_Oct25,23-11-2025,Computers,INR,67.27,301,6
Me_Sales_P-Max_Oct25,23-11-2025,Mobile phones,INR,2405.11,"37,593",844
Me_Sales_P-Max_Oct25,23-11-2025,Tablets,INR,0.1,83,0
Pro_Sales_P-Max_Oct25,23-11-2025,Computers,INR,103.04,353,8
Pro_Sales_P-Max_Oct25,23-11-2025,Mobile phones,INR,3357.53,"37,471",760
Pro_Sales_P-Max_Oct25,23-11-2025,Tablets,INR,13.06,152,1
Cadiveu_Instamart_External_20th_Nov_2025,23-11-2025,Computers,INR,0,0,0
Cadiveu_Instamart_External_20th_Nov_2025,23-11-2025,Mobile phones,INR,865.36,22,4
PRO_Search_|_Oct_25,24-11-2025,Computers,INR,389.88,178,46
PRO_Search_|_Oct_25,24-11-2025,Mobile phones,INR,3428.24,"3,265",469
PRO_Search_|_Oct_25,24-11-2025,Tablets,INR,5.82,12,2
ME_Search_|_Oct_25,24-11-2025,Computers,INR,503.44,114,28
ME_Search_|_Oct_25,24-11-2025,Mobile phones,INR,3084.02,"2,201",270
ME_Search_|_Oct_25,24-11-2025,Tablets,INR,0,7,0
IKONIC-AMZ-Glide-Peach-14-Oct-2025,24-11-2025,Other,INR,6.9,156,4
IKONIC-AMZ-Glide-Peach-14-Oct-2025,24-11-2025,Mobile phones,INR,947.53,"7,560",323
IKONIC-AMZ-Glide-Peach-14-Oct-2025,24-11-2025,Tablets,INR,0,13,0
Me_Sales_P-Max_Oct25,24-11-2025,Computers,INR,47.49,316,8
Me_Sales_P-Max_Oct25,24-11-2025,Mobile phones,INR,1805.39,"24,990",471
Me_Sales_P-Max_Oct25,24-11-2025,Tablets,INR,0.8,26,0
Pro_Sales_P-Max_Oct25,24-11-2025,Other,INR,0,2,0
Pro_Sales_P-Max_Oct25,24-11-2025,Computers,INR,219.88,718,16
Pro_Sales_P-Max_Oct25,24-11-2025,Mobile phones,INR,2526.02,"31,741",633
Pro_Sales_P-Max_Oct25,24-11-2025,Tablets,INR,36.89,189,3
Cadiveu_Instamart_External_20th_Nov_2025,24-11-2025,Computers,INR,0,1,0
Cadiveu_Instamart_External_20th_Nov_2025,24-11-2025,Mobile phones,INR,362.94,48,2
Nykaa_Black_Friday_Traffic,24-11-2025,Computers,INR,0,0,0
Nykaa_Black_Friday_Traffic,24-11-2025,Mobile phones,INR,0,0,0
Nykaa_Black_Friday_Traffic,24-11-2025,Tablets,INR,0,0,0
PRO_Search_|_Oct_25,25-11-2025,Computers,INR,354.69,179,37
PRO_Search_|_Oct_25,25-11-2025,Mobile phones,INR,3787.35,"3,482",517
PRO_Search_|_Oct_25,25-11-2025,Tablets,INR,0,13,0
ME_Search_|_Oct_25,25-11-2025,Computers,INR,271.36,122,18
ME_Search_|_Oct_25,25-11-2025,Mobile phones,INR,2982.14,"2,158",268
ME_Search_|_Oct_25,25-11-2025,Tablets,INR,0,13,0
IKONIC-AMZ-Glide-Peach-14-Oct-2025,25-11-2025,Other,INR,6.07,188,4
IKONIC-AMZ-Glide-Peach-14-Oct-2025,25-11-2025,Mobile phones,INR,990.05,"7,432",340
IKONIC-AMZ-Glide-Peach-14-Oct-2025,25-11-2025,Tablets,INR,0,12,0
Me_Sales_P-Max_Oct25,25-11-2025,Computers,INR,75.01,188,12
Me_Sales_P-Max_Oct25,25-11-2025,Mobile phones,INR,1650.07,"13,317",269
Me_Sales_P-Max_Oct25,25-11-2025,Tablets,INR,0.05,25,0
Pro_Sales_P-Max_Oct25,25-11-2025,Other,INR,0,1,0
Pro_Sales_P-Max_Oct25,25-11-2025,Computers,INR,259.27,808,19
Pro_Sales_P-Max_Oct25,25-11-2025,Mobile phones,INR,2957.41,"30,884",654
Pro_Sales_P-Max_Oct25,25-11-2025,Tablets,INR,10.12,156,1
Cadiveu_Instamart_External_20th_Nov_2025,25-11-2025,Mobile phones,INR,609.54,56,3
Nykaa_Black_Friday_Traffic,25-11-2025,Computers,INR,0.03,5,0
Nykaa_Black_Friday_Traffic,25-11-2025,Mobile phones,INR,934.55,"56,846","3,659"
Nykaa_Black_Friday_Traffic,25-11-2025,Tablets,INR,1.38,115,8
PRO_Search_|_Oct_25,26-11-2025,Computers,INR,281.61,151,33
PRO_Search_|_Oct_25,26-11-2025,Mobile phones,INR,3736.34,"3,785",496
PRO_Search_|_Oct_25,26-11-2025,Tablets,INR,0,19,0
ME_Search_|_Oct_25,26-11-2025,Computers,INR,397.1,100,16
ME_Search_|_Oct_25,26-11-2025,Mobile phones,INR,2635.05,"2,963",404
ME_Search_|_Oct_25,26-11-2025,Tablets,INR,0.74,16,1
IKONIC-AMZ-Glide-Peach-14-Oct-2025,26-11-2025,Other,INR,2.27,193,1
IKONIC-AMZ-Glide-Peach-14-Oct-2025,26-11-2025,Mobile phones,INR,750.54,"7,303",249
IKONIC-AMZ-Glide-Peach-14-Oct-2025,26-11-2025,Tablets,INR,0,12,0
Me_Sales_P-Max_Oct25,26-11-2025,Computers,INR,56.25,408,12
Me_Sales_P-Max_Oct25,26-11-2025,Mobile phones,INR,2298.87,"32,939",479
Me_Sales_P-Max_Oct25,26-11-2025,Tablets,INR,1.53,40,0
Pro_Sales_P-Max_Oct25,26-11-2025,Computers,INR,249.59,870,23
Pro_Sales_P-Max_Oct25,26-11-2025,Mobile phones,INR,3098.56,"36,033",702
Pro_Sales_P-Max_Oct25,26-11-2025,Tablets,INR,9.91,142,0
Cadiveu_Instamart_External_20th_Nov_2025,26-11-2025,Mobile phones,INR,396.18,24,1
Nykaa_Black_Friday_Traffic,26-11-2025,Mobile phones,INR,601.68,"38,528","2,531"
Nykaa_Black_Friday_Traffic,26-11-2025,Tablets,INR,2.35,184,12
PRO_Search_|_Oct_25,27-11-2025,Computers,INR,285.77,128,33
PRO_Search_|_Oct_25,27-11-2025,Mobile phones,INR,3397.8,"3,620",473
PRO_Search_|_Oct_25,27-11-2025,Tablets,INR,0,20,0
ME_Search_|_Oct_25,27-11-2025,Computers,INR,263.1,127,17
ME_Search_|_Oct_25,27-11-2025,Mobile phones,INR,4217.64,"3,569",549
ME_Search_|_Oct_25,27-11-2025,Tablets,INR,42.02,27,3
IKONIC-AMZ-Glide-Peach-14-Oct-2025,27-11-2025,Other,INR,15.11,156,5
IKONIC-AMZ-Glide-Peach-14-Oct-2025,27-11-2025,Mobile phones,INR,1098.07,"8,839",367
IKONIC-AMZ-Glide-Peach-14-Oct-2025,27-11-2025,Tablets,INR,0,10,0
Me_Sales_P-Max_Oct25,27-11-2025,Computers,INR,73.69,425,14
Me_Sales_P-Max_Oct25,27-11-2025,Mobile phones,INR,1680.03,"30,009",390
Me_Sales_P-Max_Oct25,27-11-2025,Tablets,INR,0.02,79,0
Pro_Sales_P-Max_Oct25,27-11-2025,Other,INR,0,2,0
Pro_Sales_P-Max_Oct25,27-11-2025,Computers,INR,108.33,875,17
Pro_Sales_P-Max_Oct25,27-11-2025,Mobile phones,INR,3274.36,"38,820",753
Pro_Sales_P-Max_Oct25,27-11-2025,Tablets,INR,20.99,245,0
Cadiveu_Instamart_External_20th_Nov_2025,27-11-2025,Mobile phones,INR,339.27,26,3
Nykaa_Black_Friday_Traffic,27-11-2025,Computers,INR,0,0,0
Nykaa_Black_Friday_Traffic,27-11-2025,Mobile phones,INR,509.71,"37,910","2,461"
Nykaa_Black_Friday_Traffic,27-11-2025,Tablets,INR,2.97,238,9
PRO_Search_|_Oct_25,28-11-2025,Computers,INR,359.82,194,34
PRO_Search_|_Oct_25,28-11-2025,Mobile phones,INR,3507.23,"3,946",481
PRO_Search_|_Oct_25,28-11-2025,Tablets,INR,0,25,0
ME_Search_|_Oct_25,28-11-2025,Computers,INR,301.74,195,21
ME_Search_|_Oct_25,28-11-2025,Mobile phones,INR,4315.82,"4,236",482
ME_Search_|_Oct_25,28-11-2025,Tablets,INR,20.36,20,3
IKONIC-AMZ-Glide-Peach-14-Oct-2025,28-11-2025,Other,INR,3.24,125,1
IKONIC-AMZ-Glide-Peach-14-Oct-2025,28-11-2025,Mobile phones,INR,917.54,"7,368",304
IKONIC-AMZ-Glide-Peach-14-Oct-2025,28-11-2025,Tablets,INR,0,9,0
Me_Sales_P-Max_Oct25,28-11-2025,Computers,INR,56.51,357,20
Me_Sales_P-Max_Oct25,28-11-2025,Mobile phones,INR,1730.09,"22,762",385
Me_Sales_P-Max_Oct25,28-11-2025,Tablets,INR,0,43,0
Pro_Sales_P-Max_Oct25,28-11-2025,Other,INR,0.49,1,1
Pro_Sales_P-Max_Oct25,28-11-2025,Computers,INR,261.31,"1,052",30
Pro_Sales_P-Max_Oct25,28-11-2025,Mobile phones,INR,4481.25,"48,614",923
Pro_Sales_P-Max_Oct25,28-11-2025,Tablets,INR,20.04,588,0
Cadiveu_Instamart_External_20th_Nov_2025,28-11-2025,Mobile phones,INR,774.87,21,2
Nykaa_Black_Friday_Traffic,28-11-2025,Computers,INR,0,1,0
Nykaa_Black_Friday_Traffic,28-11-2025,Mobile phones,INR,490.11,"29,653","2,479"
Nykaa_Black_Friday_Traffic,28-11-2025,Tablets,INR,0.66,63,6
PRO_Search_|_Oct_25,29-11-2025,Computers,INR,245.91,148,20
PRO_Search_|_Oct_25,29-11-2025,Mobile phones,INR,3535.61,"5,105",566
PRO_Search_|_Oct_25,29-11-2025,Tablets,INR,19.13,17,3
ME_Search_|_Oct_25,29-11-2025,Computers,INR,220.65,101,12
ME_Search_|_Oct_25,29-11-2025,Mobile phones,INR,4263.24,"3,786",499
ME_Search_|_Oct_25,29-11-2025,Tablets,INR,8.18,17,1
IKONIC-AMZ-Glide-Peach-14-Oct-2025,29-11-2025,Other,INR,9.03,75,3
IKONIC-AMZ-Glide-Peach-14-Oct-2025,29-11-2025,Mobile phones,INR,989.19,"6,231",337
IKONIC-AMZ-Glide-Peach-14-Oct-2025,29-11-2025,Tablets,INR,0,9,0
Me_Sales_P-Max_Oct25,29-11-2025,Computers,INR,44.35,405,10
Me_Sales_P-Max_Oct25,29-11-2025,Mobile phones,INR,1748.38,"30,739",415
Me_Sales_P-Max_Oct25,29-11-2025,Tablets,INR,4.63,83,5
Pro_Sales_P-Max_Oct25,29-11-2025,Other,INR,0,1,0
Pro_Sales_P-Max_Oct25,29-11-2025,Computers,INR,143.71,786,24
Pro_Sales_P-Max_Oct25,29-11-2025,Mobile phones,INR,3827.27,"49,723",919
Pro_Sales_P-Max_Oct25,29-11-2025,Tablets,INR,10.93,251,1
Cadiveu_Instamart_External_20th_Nov_2025,29-11-2025,Mobile phones,INR,158.54,27,1
Nykaa_Black_Friday_Traffic,29-11-2025,Computers,INR,0,0,0
Nykaa_Black_Friday_Traffic,29-11-2025,Mobile phones,INR,569.11,"34,162","2,837"
Nykaa_Black_Friday_Traffic,29-11-2025,Tablets,INR,2.3,103,16
PRO_Search_|_Oct_25,30-11-2025,Computers,INR,112.45,109,20
PRO_Search_|_Oct_25,30-11-2025,Mobile phones,INR,3815.63,"4,236",513
PRO_Search_|_Oct_25,30-11-2025,Tablets,INR,16.12,26,1
ME_Search_|_Oct_25,30-11-2025,Computers,INR,187.69,77,11
ME_Search_|_Oct_25,30-11-2025,Mobile phones,INR,3526.26,"3,260",352
ME_Search_|_Oct_25,30-11-2025,Tablets,INR,0,7,0
IKONIC-AMZ-Glide-Peach-14-Oct-2025,30-11-2025,Other,INR,12.78,81,4
IKONIC-AMZ-Glide-Peach-14-Oct-2025,30-11-2025,Mobile phones,INR,841.7,"5,993",289
IKONIC-AMZ-Glide-Peach-14-Oct-2025,30-11-2025,Tablets,INR,2.89,12,1
Me_Sales_P-Max_Oct25,30-11-2025,Computers,INR,9.08,222,2
Me_Sales_P-Max_Oct25,30-11-2025,Mobile phones,INR,1599.03,"26,949",395
Me_Sales_P-Max_Oct25,30-11-2025,Tablets,INR,11.86,33,3
Pro_Sales_P-Max_Oct25,30-11-2025,Other,INR,0,4,0
Pro_Sales_P-Max_Oct25,30-11-2025,Computers,INR,148.14,825,18
Pro_Sales_P-Max_Oct25,30-11-2025,Mobile phones,INR,3681.34,"43,918",975
Pro_Sales_P-Max_Oct25,30-11-2025,Tablets,INR,132.92,522,5
Cadiveu_Instamart_External_20th_Nov_2025,30-11-2025,Mobile phones,INR,662.51,22,6
Cadiveu_Instamart_External_20th_Nov_2025,30-11-2025,Tablets,INR,0,1,0
Nykaa_Black_Friday_Traffic,30-11-2025,Computers,INR,0,0,0
Nykaa_Black_Friday_Traffic,30-11-2025,Mobile phones,INR,383.19,"18,960","2,065"
Nykaa_Black_Friday_Traffic,30-11-2025,Tablets,INR,1.31,48,6
